position,cumulative_value,player_count,avg_value_per_player
DT,3739,37,101.05405405405405
QB,2390,16,149.375
CB,2133,29,73.55172413793103
OT,2070,19,108.94736842105263
WR,1904,38,50.10526315789474
EDGE,1711,22,77.77272727272727
LB,1284,18,71.33333333333333
S,1106,18,61.44444444444444
RB,972,19,51.1578947368421
IOL,919,24,38.291666666666664
TE,265,12,22.083333333333332
K,16,1,16.0
