position,cumulative_value,player_count,avg_value_per_player
WR,3371,35,96.31428571428572
QB,3215,11,292.27272727272725
OT,2985,25,119.4
CB,2315,34,68.08823529411765
EDGE,2054,27,76.07407407407408
DT,1217,25,48.68
IOL,1119,24,46.625
TE,663,13,51.0
LB,550,19,28.94736842105263
S,533,19,28.05263157894737
RB,482,21,22.952380952380953
P,5,1,5.0
K,4,3,1.3333333333333333
