position,cumulative_value,player_count,avg_value_per_player
WR,2748,35,78.51428571428572
OT,2676,23,116.34782608695652
CB,2447,32,76.46875
QB,2400,14,171.42857142857142
EDGE,2150,25,86.0
LB,1609,24,67.04166666666667
DT,1509,22,68.5909090909091
S,978,21,46.57142857142857
IOL,857,26,32.96153846153846
RB,785,17,46.1764705882353
TE,352,16,22.0
