position,cumulative_value,player_count,avg_value_per_player
QB,3064,14,218.85714285714286
DT,2582,32,80.6875
CB,1883,34,55.38235294117647
IOL,1680,23,73.04347826086956
LB,1676,24,69.83333333333333
RB,1658,21,78.95238095238095
WR,1584,31,51.096774193548384
S,1342,21,63.904761904761905
OT,1314,21,62.57142857142857
EDGE,1037,19,54.578947368421055
TE,680,14,48.57142857142857
K,9,1,9.0
P,3,1,3.0
