position,cumulative_value,player_count,avg_value_per_player
DT,2703,34,79.5
CB,2580,31,83.2258064516129
EDGE,2345,21,111.66666666666667
S,1816,19,95.57894736842105
WR,1751,36,48.638888888888886
RB,1645,21,78.33333333333333
LB,1431,24,59.625
QB,1417,11,128.8181818181818
TE,1029,16,64.3125
OT,1007,21,47.95238095238095
IOL,775,17,45.588235294117645
K,9,1,9.0
P,1,1,1.0
