position,cumulative_value,player_count,avg_value_per_player
EDGE,3248,31,104.7741935483871
QB,2707,14,193.35714285714286
CB,2566,33,77.75757575757575
OT,2070,20,103.5
WR,1998,33,60.54545454545455
DT,1533,24,63.875
TE,1060,15,70.66666666666667
RB,988,22,44.90909090909091
IOL,971,23,42.21739130434783
LB,685,21,32.61904761904762
S,684,21,32.57142857142857
K,5,2,2.5
