position,cumulative_value,player_count,avg_value_per_player
EDGE,2846,24,118.58333333333333
DT,2800,28,100.0
QB,2259,12,188.25
WR,1852,37,50.054054054054056
OT,1849,17,108.76470588235294
CB,1662,27,61.55555555555556
IOL,1268,21,60.38095238095238
S,1164,24,48.5
LB,1127,23,49.0
TE,1033,16,64.5625
RB,650,25,26.0
