position,cumulative_value,player_count,avg_value_per_player
EDGE,2816,28,100.57142857142857
WR,2650,36,73.61111111111111
OT,2418,25,96.72
CB,2085,29,71.89655172413794
LB,2057,22,93.5
DT,1348,23,58.608695652173914
QB,1315,11,119.54545454545455
S,1277,20,63.85
IOL,1013,26,38.96153846153846
RB,844,18,46.888888888888886
TE,690,19,36.31578947368421
