position,cumulative_value,player_count,avg_value_per_player
QB,3351,12,279.25
WR,2691,36,74.75
OT,2457,25,98.28
EDGE,2445,33,74.0909090909091
CB,2304,36,64.0
LB,1196,21,56.95238095238095
IOL,1057,23,45.95652173913044
TE,800,14,57.142857142857146
DT,796,18,44.22222222222222
RB,728,19,38.31578947368421
S,690,22,31.363636363636363
